"","trip_id","duration","start_time","end_time","passholder_type","city","month","day","year","dummy","memberType","mDuration","number_trips","by100000"
"44",3294,2429,2016-01-11,2016-01-11,"Subscriber","Boston",1,11,2016,0,"member",499.35162601626,492,73.7479708065959
"45",8592288,412,2016-01-12,2016-01-13,"Subscriber","Chicago",1,12,2016,0,"member",653.533604887984,1964,72.8595287576263
"46",4525922,300,2016-01-12,2016-01-12,"Indego30","Philly",1,12,2016,0,"member",881.820276497696,868,55.3616621765042
"47",5487092,103996,2016-01-12,2016-01-12,"Registered","Washington",1,12,2016,0,"member",668870.294915254,6490,965.446247404155
"48",3786,1503,2016-01-12,2016-01-12,"Subscriber","Boston",1,12,2016,0,"member",493.061475409836,488,73.1483938081683
"49",8595942,367,2016-01-13,2016-01-14,"Subscriber","Chicago",1,13,2016,0,"member",642.906147540984,2440,90.5179481510225
"50",4526977,480,2016-01-13,2016-01-13,"Walk-up","Philly",1,13,2016,0,"shortterm",1079.0782122905,716,45.6669932239367
"51",5481472,451321,2016-01-13,2016-01-14,"Registered","Washington",1,13,2016,0,"member",687683.355338078,5620,836.025872174322
"52",4274,529,2016-01-13,2016-01-13,"Subscriber","Boston",1,13,2016,0,"member",815.302107728337,427,64.0048445821473
"53",8601908,257,2016-01-14,2016-01-15,"Subscriber","Chicago",1,14,2016,0,"member",708.43232501656,4529,168.014666875402
"54",4528141,1980,2016-01-14,2016-01-14,"Walk-up","Philly",1,14,2016,0,"shortterm",872.255892255892,891,56.828618662748
"55",5474308,250473,2016-01-14,2016-01-15,"Registered","Washington",1,14,2016,0,"member",719497.817280849,7164,1065.70984844428
"56",4701,575,2016-01-14,2016-01-14,"Customer","Boston",1,14,2016,0,"shortterm",1942.27292110874,469,70.3004030656372
"57",8607561,330,2016-01-15,2016-01-16,"Subscriber","Chicago",1,15,2016,0,"member",609.580285035629,4210,156.180558080248
"58",4529454,480,2016-01-15,2016-01-15,"Indego30","Philly",1,15,2016,0,"member",1104.44444444444,999,63.7169360764144
"59",5468325,275129,2016-01-15,2016-01-16,"Registered","Washington",1,15,2016,0,"member",775175.363864282,5983,890.02540804608
"60",5170,313,2016-01-15,2016-01-15,"Subscriber","Boston",1,15,2016,0,"member",620.517307692308,520,77.9450097955892
"61",8610751,418,2016-01-16,2016-01-17,"Subscriber","Chicago",1,16,2016,0,"member",681.530640036314,2203,81.7258359740584
"62",4530794,180,2016-01-16,2016-01-16,"Indego30","Philly",1,16,2016,0,"member",1430.96234309623,717,45.7307739407299
"63",5462417,273606,2016-01-16,2016-01-17,"Registered","Washington",1,16,2016,0,"member",1091325.679587,5908,878.868479146956
"64",5690,426,2016-01-16,2016-01-16,"Subscriber","Boston",1,16,2016,0,"member",719.688461538462,260,38.9725048977946
"65",8612046,403,2016-01-17,2016-01-18,"Subscriber","Chicago",1,17,2016,0,"member",595.053424657534,730,27.0811894058387
"66",4531857,240,2016-01-17,2016-01-17,"Indego30","Philly",1,17,2016,0,"member",1371.26373626374,364,23.2161809127276
"67",5459017,250767,2016-01-17,2016-01-18,"Registered","Washington",1,17,2016,0,"member",900102.592058824,3400,505.780776760266
"68",5950,312,2016-01-17,2016-01-17,"Subscriber","Boston",1,17,2016,0,"member",6707.47211895911,269,40.3215531442567
"69",8613937,375,2016-01-18,2016-01-19,"Subscriber","Chicago",1,18,2016,0,"member",595.803730738037,1233,45.7412418320536
"70",4532438,960,2016-01-18,2016-01-18,"Indego30","Philly",1,18,2016,0,"member",1655.60606060606,396,25.2571638501102
"71",5456518,476266,2016-01-18,2016-01-19,"Registered","Washington",1,18,2016,0,"member",619268.272509004,2499,371.748870918795
"72",6219,286,2016-01-18,2016-01-18,"Customer","Boston",1,18,2016,0,"shortterm",542.547263681592,201,30.1287441709874
"73",8617837,406,2016-01-19,2016-01-20,"Subscriber","Chicago",1,19,2016,0,"member",678.775441231694,2663,98.7906950517102
